HMS Property ID,Dispose Date,Address Line1,Address Line2,City,County,Post Code,Locality1,Locality2,Locality3,Locality4,DwellingCode,post_preamble
ABBOTS005000,NULL,50  Abbotts Road,London,                                                  ,                                                  ,E6 1LF,EF ,226,,,3,
ABERDA002700,NULL,27  Aberdare Road,Ponders End,Enfield                                           ,Middlesex                                         ,EN3 4JA,NF ,211,,,3,
ABINGD000100,NULL,1  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD000200,NULL,2  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD000300,NULL,3  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD000400,NULL,4  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD000500,NULL,5  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD000600,NULL,6  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD000700,NULL,7  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD000800,NULL,8  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD000900,NULL,9  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD001000,NULL,10  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD001100,NULL,11  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD001200,NULL,12  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD001300,NULL,13  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD001400,NULL,14  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD001500,NULL,15  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD001600,NULL,16  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD001700,NULL,17  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD001900,NULL,19  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD002100,NULL,21  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD002300,NULL,23  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD002500,NULL,25  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD002700,NULL,27  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABINGD002900,NULL,29  Abingdon Walk,Maidenhead,Berkshire                                         ,Berkshire                                         ,SL6 7UN,BF ,298,,,3,
ABRAHA000100,NULL, Flat 1 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 1
ABRAHA000200,NULL, Flat 2 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 2
ABRAHA000300,NULL, Flat 3 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 3
ABRAHA000400,NULL, Flat 4 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 4
ABRAHA000500,NULL, Flat 5 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 5
ABRAHA000600,NULL, Flat 6 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 6
ABRAHA000700,NULL, Flat 7 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 7
ABRAHA000800,NULL, Flat 8 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 8
ABRAHA000900,NULL, Flat 9 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 9
ABRAHA001000,NULL, Flat 10 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 10
ABRAHA001100,NULL, Flat 11 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 11
ABRAHA001200,NULL, Flat 12 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 12
ABRAHA001300,NULL, Flat 13 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 13
ABRAHA001400,NULL, Flat 14 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 14
