source_db_ref,name,search_name,manager_code,default_currency_code
001,668 Commercial Road,001,ACTIV,GBP
002,Archibald Street,002,ACTIV,GBP
003,Back Church Lane,003,ACTIV,GBP
004,Bow Road,004,ACTIV,GBP
005,Brabazon Estate,005,ACTIV,GBP
006,Brick Lane,006,ACTIV,GBP
007,Bruce Road,007,ACTIV,GBP
008,Byng Street / Alpha Grove,008,ACTIV,GBP
009,Clementina Court,009,ACTIV,GBP
010,Coburn Road,010,ACTIV,GBP
011,Denmark Place,011,ACTIV,GBP
012,Devons Road,012,ACTIV,GBP
013,DIYSO,013,ACTIV,GBP
014,Dominica Close,014,ACTIV,GBP
015,Driffield Road,015,ACTIV,GBP
016,Dyson Road,016,ACTIV,GBP
017,E. India Dock,017,ACTIV,GBP
018,Eastern Building,018,ACTIV,GBP
019,Edgar Road,019,ACTIV,GBP
020,Emmerson Building,020,ACTIV,GBP
021,Evershed House,021,INACT,GBP
022,Fallstaff Building,022,ACTIV,GBP
023,Faraday Road,023,ACTIV,GBP
024,Flower & Dean,024,ACTIV,GBP
025,Forest Gate SRB,025,ACTIV,GBP
026,Gill Street,026,ACTIV,GBP
027,Glasier Court,027,INACT,GBP
028,Grange Road,028,ACTIV,GBP
029,Grantham Road,029,ACTIV,GBP
030,Green Dragon Yard,030,ACTIV,GBP
031,Jameson Court,031,ACTIV,GBP
032,John Smith Mews,032,ACTIV,GBP
033,Karachi House,033,ACTIV,GBP
034,Knapp Road,034,ACTIV,GBP
035,LDDC,035,ACTIV,GBP
036,Lime Harbour,036,ACTIV,GBP
037,Luxembourg Mews,037,ACTIV,GBP
038,Magdalen Street,038,ACTIV,GBP
039,Manor Road,039,ACTIV,GBP
040,Mantle Way,040,ACTIV,GBP
041,Marnie Court,041,ACTIV,GBP
042,McCabe Court,042,ACTIV,GBP
043,Newham Street properties,043,ACTIV,GBP
044,North Street,044,ACTIV,GBP
045,Orient Wharf,045,ACTIV,GBP
046,Paternoster House,046,ACTIV,GBP
047,Peter Heathfield House,047,ACTIV,GBP
048,Piggot Street,048,ACTIV,GBP
049,Pixley Street,049,ACTIV,GBP
050,Rabbits Road,050,ACTIV,GBP
051,Romford Rd.,051,ACTIV,GBP
052,Romford Road,052,INACT,GBP
053,Sailors Palace,053,ACTIV,GBP
054,Selby Street,054,ACTIV,GBP
055,Solent Rise,055,ACTIV,GBP
056,Spanby Road,056,ACTIV,GBP
057,St Leonards Road,057,ACTIV,GBP
058,Stevedore Street,058,ACTIV,GBP
059,Suttons Wharf,059,ACTIV,GBP
060,Tate & Lyle,060,ACTIV,GBP
061,Teasel Way,061,ACTIV,GBP
062,The Edge,062,INACT,GBP
063,Tolpuddle Avenue,063,ACTIV,GBP
064,Turners Road,064,ACTIV,GBP
065,Umberston Street,065,ACTIV,GBP
066,Vale Road,066,ACTIV,GBP
067,Virginia Quay,067,ACTIV,GBP
068,Virginia Quay II,068,ACTIV,GBP
069,W. India Dock Road,069,ACTIV,GBP
070,Watney / Tarling Estate,070,ACTIV,GBP
071,Windmill House,071,ACTIV,GBP
072,Winkley Wharf,072,ACTIV,GBP
073,Winsor Park,073,ACTIV,GBP
074,Woodcocks,074,ACTIV,GBP
075,Woodgrange Road,075,ACTIV,GBP
076,Woodlands Infill,076,ACTIV,GBP
077,Arlington Road,077,ACTIV,GBP
078,Auden Place,078,ACTIV,GBP
079,Brooks Road,079,ACTIV,GBP
080,Camden Gardens,080,ACTIV,GBP
081,Gilbeys Yard,081,ACTIV,GBP
